method,property,component,correlation,p_value,type,n_samples,abs_correlation
sax,binary_dili,PC67,1.98730145891548,9.901855754149442e-22,effect_size,158,1.98730145891548
sax,binary_dili,PC30,1.8829377433825434,3.8784794668886166e-20,effect_size,158,1.8829377433825434
custom,hepatotoxicity_boxed_warning,PC6,-1.2651746910338013,3.724383762686239e-06,effect_size,158,1.2651746910338013
sax,binary_dili,PC187,-1.1922299697136334,3.261941439330224e-10,effect_size,158,1.1922299697136334
sax,binary_dili,PC145,-1.1922299697136334,3.261941439330224e-10,effect_size,158,1.1922299697136334
sax,binary_dili,PC154,-1.1922299697136334,3.261941439330224e-10,effect_size,158,1.1922299697136334
sax,hepatotoxicity_boxed_warning,PC61,-1.1801936887041649,1.463963854110225e-05,effect_size,158,1.1801936887041649
sax,binary_dili,PC173,-1.1697953037312037,6.369521563632495e-10,effect_size,158,1.1697953037312037
sax,hepatotoxicity_boxed_warning,PC215,-1.1461278598979165,2.4877147598876788e-05,effect_size,158,1.1461278598979165
sax,hepatotoxicity_boxed_warning,PC171,-1.1455580491325865,2.5096446208713555e-05,effect_size,158,1.1455580491325865
sax,hepatotoxicity_boxed_warning,PC249,-1.145453320169338,2.5136953881485933e-05,effect_size,158,1.145453320169338
sax,hepatotoxicity_boxed_warning,PC67,1.0481371805712145,0.00010750909327472634,effect_size,158,1.0481371805712145
sax,hepatotoxicity_boxed_warning,PC30,-1.0481371805712145,0.00010750909327472634,effect_size,158,1.0481371805712145
sax,hepatotoxicity_boxed_warning,PC15,-1.0277566224144654,0.00014405484186063292,effect_size,158,1.0277566224144654
custom,hepatotoxicity_boxed_warning,PC1,-1.0019376680497072,0.00020745627023232354,effect_size,158,1.0019376680497072
sax,hepatotoxicity_boxed_warning,PC166,-0.9316524631750478,0.0005409494848176345,effect_size,158,0.9316524631750478
fourier,hepatotoxicity_boxed_warning,PC1,-0.8868017658959522,0.0009706853192677851,effect_size,158,0.8868017658959522
sax,hepatotoxicity_boxed_warning,PC211,0.8657669829068045,0.0012675674936047426,effect_size,158,0.8657669829068045
custom,hepatotoxicity_boxed_warning,PC7,-0.8462906261274855,0.001615987733116432,effect_size,158,0.8462906261274855
sax,hepatotoxicity_boxed_warning,PC134,-0.8458500409233851,0.0016248127717576227,effect_size,158,0.8458500409233851
sax,hepatotoxicity_boxed_warning,PC129,-0.8458193709124208,0.0016254287643561148,effect_size,158,0.8458193709124208
sax,hepatotoxicity_boxed_warning,PC124,-0.8433923871450532,0.001674867315802984,effect_size,158,0.8433923871450532
sax,hepatotoxicity_boxed_warning,PC221,0.8312328760687988,0.001944272548960394,effect_size,158,0.8312328760687988
sax,hepatotoxicity_boxed_warning,PC1,0.8114136112114098,0.002470822820074816,effect_size,158,0.8114136112114098
sax,hepatotoxicity_boxed_warning,PC118,-0.8062257748298549,0.002628927483702451,effect_size,158,0.8062257748298549
sax,hepatotoxicity_boxed_warning,PC77,-0.8062257748298548,0.0026289274837024566,effect_size,158,0.8062257748298548
sax,hepatotoxicity_boxed_warning,PC243,-0.8023014355222047,0.002754672511462393,effect_size,158,0.8023014355222047
fourier,hepatotoxicity_boxed_warning,PC2,-0.8005414892559974,0.002812847517116183,effect_size,158,0.8005414892559974
custom,hepatotoxicity_boxed_warning,PC4,-0.7874559580499242,0.0032822042998825636,effect_size,158,0.7874559580499242
catch22,hepatotoxicity_boxed_warning,PC8,-0.786837528161779,0.0033060750947315073,effect_size,158,0.786837528161779
sax,hepatotoxicity_boxed_warning,PC135,-0.7738629009892878,0.0038451716640937475,effect_size,158,0.7738629009892878
sax,hepatotoxicity_boxed_warning,PC172,-0.7590067179415166,0.004560765444274794,effect_size,158,0.7590067179415166
sax,hepatotoxicity_boxed_warning,PC214,-0.7574083490199941,0.0046446076303087065,effect_size,158,0.7574083490199941
fourier,hepatotoxicity_boxed_warning,PC26,-0.7569055751227775,0.004671270430528384,effect_size,158,0.7569055751227775
sax,hepatotoxicity_boxed_warning,PC242,-0.7515145582416639,0.004966085579331897,effect_size,158,0.7515145582416639
sax,hepatotoxicity_boxed_warning,PC128,-0.7461115712771305,0.005278508421136716,effect_size,158,0.7461115712771305
sax,hepatotoxicity_boxed_warning,PC165,-0.7215030977749223,0.006940663406033859,effect_size,158,0.7215030977749223
sax,hepatotoxicity_boxed_warning,PC161,-0.7180855529115259,0.007205741776177381,effect_size,158,0.7180855529115259
sax,hepatotoxicity_boxed_warning,PC203,-0.7045865247611606,0.008344803655554303,effect_size,158,0.7045865247611606
sax,hepatotoxicity_boxed_warning,PC87,-0.6939385425507164,0.009355392817645608,effect_size,158,0.6939385425507164
sax,hepatotoxicity_boxed_warning,PC110,-0.6924263580156975,0.009507523352126856,effect_size,158,0.6924263580156975
sax,hepatotoxicity_boxed_warning,PC178,-0.690877945956046,0.00966560305990133,effect_size,158,0.690877945956046
sax,binary_dili,PC29,0.690771118998852,0.00014690555832235871,effect_size,158,0.690771118998852
sax,hepatotoxicity_boxed_warning,PC204,-0.6906784347446018,0.009686142572459368,effect_size,158,0.6906784347446018
sax,hepatotoxicity_boxed_warning,PC216,-0.6882504552553934,0.009939267466139025,effect_size,158,0.6882504552553934
sax,hepatotoxicity_boxed_warning,PC93,-0.6857134208631425,0.010210103130201821,effect_size,158,0.6857134208631425
custom,hepatotoxicity_boxed_warning,PC2,-0.6834695346044853,0.010455152509956357,effect_size,158,0.6834695346044853
sax,hepatotoxicity_boxed_warning,PC46,-0.6816616319882169,0.010656418230342718,effect_size,158,0.6816616319882169
catch22,hepatotoxicity_boxed_warning,PC5,-0.6792869458930159,0.010926064442446749,effect_size,158,0.6792869458930159
custom,hepatotoxicity_boxed_warning,PC3,-0.678765844881087,0.010986048482441056,effect_size,158,0.678765844881087
sax,hepatotoxicity_boxed_warning,PC14,-0.6776804943791591,0.011111932752607322,effect_size,158,0.6776804943791591
sax,hepatotoxicity_boxed_warning,PC169,-0.6770758630572247,0.011182620545145206,effect_size,158,0.6770758630572247
sax,hepatotoxicity_boxed_warning,PC255,-0.6765956478676229,0.011239049792918497,effect_size,158,0.6765956478676229
sax,hepatotoxicity_boxed_warning,PC182,-0.6764942947892457,0.011250992193749204,effect_size,158,0.6764942947892457
sax,hepatotoxicity_boxed_warning,PC177,-0.675871294372516,0.011324650354326676,effect_size,158,0.675871294372516
sax,hepatotoxicity_boxed_warning,PC256,-0.6707066684452694,0.011952108343498689,effect_size,158,0.6707066684452694
custom,hepatotoxicity_boxed_warning,PC5,-0.6701175514540618,0.01202562308814639,effect_size,158,0.6701175514540618
sax,hepatotoxicity_boxed_warning,PC209,-0.6686198365786076,0.012214345370709723,effect_size,158,0.6686198365786076
sax,hepatotoxicity_boxed_warning,PC250,-0.663256819800879,0.012912038918044233,effect_size,158,0.663256819800879
sax,hepatotoxicity_boxed_warning,PC210,-0.6599679622218688,0.013357305049841079,effect_size,158,0.6599679622218688
sax,hepatotoxicity_boxed_warning,PC65,-0.6590988763927641,0.01347723338228455,effect_size,158,0.6590988763927641
sax,hepatotoxicity_boxed_warning,PC89,-0.6532280975339909,0.014312830231150687,effect_size,158,0.6532280975339909
sax,hepatotoxicity_boxed_warning,PC107,-0.6507547904559788,0.014678461282941316,effect_size,158,0.6507547904559788
sax,c_max,PC25,0.645770198414541,5.909903739584767e-14,correlation,107,0.645770198414541
sax,c_max,PC144,0.645770198414541,5.909903739584767e-14,correlation,107,0.645770198414541
catch22,hepatotoxicity_boxed_warning,PC22,0.6404304825475162,0.016296047248034,effect_size,158,0.6404304825475162
sax,hepatotoxicity_boxed_warning,PC11,-0.6395764677265035,0.01643668224530239,effect_size,158,0.6395764677265035
sax,hepatotoxicity_boxed_warning,PC199,-0.634140750435187,0.01735730428578328,effect_size,158,0.634140750435187
catch22,hepatotoxicity_boxed_warning,PC15,0.6154482751049504,0.02088096738372705,effect_size,158,0.6154482751049504
catch22,binary_dili,PC20,-0.6110577515681956,0.0007388517586711774,effect_size,158,0.6110577515681956
sax,hepatotoxicity_boxed_warning,PC236,-0.6105444458971769,0.021903829857359596,effect_size,158,0.6105444458971769
catch22,hepatotoxicity_boxed_warning,PC4,-0.6103727580125698,0.021940425299570243,effect_size,158,0.6103727580125698
sax,hepatotoxicity_boxed_warning,PC123,-0.6098677498179013,0.022048379799243654,effect_size,158,0.6098677498179013
sax,hepatotoxicity_boxed_warning,PC117,-0.608827404401981,0.02227224352754973,effect_size,158,0.608827404401981
sax,hepatotoxicity_boxed_warning,PC217,-0.6086856034170998,0.022302910581761398,effect_size,158,0.6086856034170998
fourier,binary_dili,PC17,0.6046248056552552,0.0008363868855055819,effect_size,158,0.6046248056552552
catch22,hepatotoxicity_boxed_warning,PC13,0.6029030487570616,0.02358548447671573,effect_size,158,0.6029030487570616
sax,hepatotoxicity_boxed_warning,PC230,-0.5986206245830928,0.024576539912634855,effect_size,158,0.5986206245830928
sax,hepatotoxicity_boxed_warning,PC24,0.5878405482085851,0.0272341322588661,effect_size,158,0.5878405482085851
custom,binary_dili,PC3,-0.5868683656455924,0.0011718102438751643,effect_size,158,0.5868683656455924
sax,hepatotoxicity_boxed_warning,PC116,-0.5842296278127999,0.028178665330988267,effect_size,158,0.5842296278127999
catch22,hepatotoxicity_boxed_warning,PC3,-0.5807555418832839,0.029114179604067435,effect_size,158,0.5807555418832839
fourier,binary_dili,PC25,0.5779648350268224,0.0013838022505664885,effect_size,158,0.5779648350268224
fourier,hepatotoxicity_boxed_warning,PC3,-0.5772737187816216,0.03007873792019905,effect_size,158,0.5772737187816216
fourier,binary_dili,PC18,0.5606845424127194,0.0019006232318647114,effect_size,158,0.5606845424127194
sax,hepatotoxicity_boxed_warning,PC231,-0.5510751574353429,0.03826637522700989,effect_size,158,0.5510751574353429
sax,hepatotoxicity_boxed_warning,PC224,0.5437652790370674,0.04086728464976639,effect_size,158,0.5437652790370674
sax,hepatotoxicity_boxed_warning,PC248,-0.5417140421438478,0.04162376434803682,effect_size,158,0.5417140421438478
sax,hepatotoxicity_boxed_warning,PC205,-0.5323054829114356,0.0452487413559001,effect_size,158,0.5323054829114356
sax,hepatotoxicity_boxed_warning,PC130,-0.5315629491877272,0.04554593580086723,effect_size,158,0.5315629491877272
sax,binary_dili,PC231,-0.5076973113661075,0.004808348742262285,effect_size,158,0.5076973113661075
sax,binary_dili,PC45,-0.5031452209741503,0.005190834362923949,effect_size,158,0.5031452209741503
catch22,binary_dili,PC10,0.4857889140883465,0.0069173847250133405,effect_size,158,0.4857889140883465
sax,binary_dili,PC17,0.48206378494329144,0.007349953416231164,effect_size,158,0.48206378494329144
sax,binary_dili,PC51,-0.4728514055608909,0.008526828198764779,effect_size,158,0.4728514055608909
sax,binary_dili,PC93,-0.4656440324110628,0.009563380575114295,effect_size,158,0.4656440324110628
sax,binary_dili,PC87,-0.46062767742533134,0.010350382607071848,effect_size,158,0.46062767742533134
sax,binary_dili,PC211,0.46031894069458545,0.010400668847959984,effect_size,158,0.46031894069458545
sax,binary_dili,PC84,-0.45964105679576744,0.010511851602820175,effect_size,158,0.45964105679576744
sax,half_life_hours,PC185,0.45915028330103197,7.403135302781344e-07,correlation,106,0.45915028330103197
fourier,binary_dili,PC8,0.4562025180687666,0.011092427952699336,effect_size,158,0.4562025180687666
sax,binary_dili,PC229,-0.4554495426322685,0.011223339075296884,effect_size,158,0.4554495426322685
sax,binary_dili,PC221,0.45370289908213474,0.01153235598307901,effect_size,158,0.45370289908213474
fourier,binary_dili,PC21,0.4485379473275223,0.012491224361491424,effect_size,158,0.4485379473275223
sax,binary_dili,PC1,0.44690899984130805,0.012808090687867977,effect_size,158,0.44690899984130805
sax,binary_dili,PC129,-0.44382914734403056,0.013426873028858012,effect_size,158,0.44382914734403056
sax,binary_dili,PC202,0.4398611766347891,0.014263341528182172,effect_size,158,0.4398611766347891
sax,binary_dili,PC47,-0.4398048635930506,0.014275539447013876,effect_size,158,0.4398048635930506
sax,binary_dili,PC122,-0.439751996423786,0.014286999413235664,effect_size,158,0.439751996423786
sax,binary_dili,PC100,0.4379684257181306,0.014678454830356636,effect_size,158,0.4379684257181306
sax,binary_dili,PC115,-0.43116604205262904,0.01626047706279747,effect_size,158,0.43116604205262904
sax,binary_dili,PC133,-0.4306824096516319,0.016378512879059233,effect_size,158,0.4306824096516319
custom,binary_dili,PC6,-0.42906581137426064,0.01677859621495318,effect_size,158,0.42906581137426064
sax,binary_dili,PC49,-0.42339772358089206,0.01825063063337868,effect_size,158,0.42339772358089206
sax,binary_dili,PC50,-0.4220190275364235,0.018625508256601895,effect_size,158,0.4220190275364235
fourier,binary_dili,PC5,0.4203482604776587,0.019088906161483777,effect_size,158,0.4203482604776587
