dimension,spearman_r,spearman_p,pearson_r,pearson_p,n_drugs,abs_spearman
9,-0.25975883504585656,0.0009808740065623898,-0.24404613705593325,0.0020007839863477282,158,0.25975883504585656
7,0.17271560419162943,0.029999374117079078,0.16912817309221775,0.03364038322353947,158,0.17271560419162943
12,-0.16832804807846666,0.03450162992733448,-0.1655711191568711,0.03761338427102538,158,0.16832804807846666
8,0.15568538003873345,0.05078128863646518,0.10665223144307952,0.18228239481360745,158,0.15568538003873345
2,0.14403321129314836,0.07099333830755344,0.10478535504820655,0.1901000450187065,158,0.14403321129314836
19,0.120582197828977,0.13125488350708273,0.06426796270158786,0.422407728244445,158,0.120582197828977
3,0.11660711273331713,0.14454513774880823,0.09637351431989508,0.2283641418766365,158,0.11660711273331713
10,0.10133782040736049,0.2051744366970858,0.11916486481062166,0.13588154761944793,158,0.10133782040736049
13,0.09689031619970197,0.22586722631783096,0.04633273295815218,0.5632103750124373,158,0.09689031619970197
5,-0.0867855996300565,0.27824807723740885,-0.069906891830161,0.38276822140277716,158,0.0867855996300565
17,-0.08355429865406509,0.29660191772259975,-0.06588633541157522,0.4107943343102899,158,0.08355429865406509
4,0.05787925793427813,0.470073161723065,0.04674581736620353,0.5597323154363868,158,0.05787925793427813
14,0.05332620871986614,0.5057618522742169,0.007820860445872657,0.922307423604894,158,0.05332620871986614
15,0.04173411943966381,0.6026097372206751,0.005243265957339861,0.9478682980824082,158,0.04173411943966381
18,-0.03885688884464042,0.6278690177330628,-0.018988561098962242,0.8128052456191037,158,0.03885688884464042
1,0.027441701755906878,0.7321534301167438,0.03873263021391084,0.6289699628447731,158,0.027441701755906878
0,-0.0213606855975713,0.7899326473558899,0.00394528274112578,0.9607616229572759,158,0.0213606855975713
16,0.020527707542664354,0.7979451069316557,0.07020724047424971,0.3807222416989888,158,0.020527707542664354
6,-0.018989982368954494,0.8127914918307145,-0.03318902470844351,0.6788879417187792,158,0.018989982368954494
11,-0.00988550770946515,0.901889133867849,-0.023190050213764187,0.7724139861095211,158,0.00988550770946515
