feature,r,p,abs_r,significant,endpoint
event_1_late_post_std_mean,-0.557219612339986,0.0006188936609030425,0.557219612339986,True,DILI_binary
event_1_late_post_std_median,-0.5332702776550712,0.0011644312498057738,0.5332702776550712,True,DILI_binary
event_1_late_post_mean_median,-0.48925288560746255,0.003319825674030513,0.48925288560746255,True,DILI_binary
event_1_late_post_std_std,-0.4220992655781961,0.012896299252272023,0.4220992655781961,True,DILI_binary
event_1_late_post_min_median,-0.38517873203202857,0.024478063685846062,0.38517873203202857,True,DILI_binary
baseline_oxygen_median,-0.3602041472831802,0.036385356187343065,0.3602041472831802,True,DILI_binary
suppression_consistency_mean,-0.3435934360077851,0.11743569296823014,0.3435934360077851,False,DILI_binary
event_3_late_post_mean_std,0.3393436996771459,0.04960159666816491,0.3393436996771459,True,DILI_binary
event_3_late_post_min_std,0.33393769093252074,0.05358723721469058,0.33393769093252074,False,DILI_binary
event_1_late_post_mean_mean,-0.3200816903904925,0.06497080951361649,0.3200816903904925,False,DILI_binary
baseline_oxygen_mean,-0.30980154140043015,0.07458174269353503,0.30980154140043015,False,DILI_binary
suppression_consistency_median,-0.30431379505896117,0.16852502554900486,0.30431379505896117,False,DILI_binary
event_2_late_post_std_median,-0.2834660474416591,0.10425381251180832,0.2834660474416591,False,DILI_binary
event_3_late_post_std_std,0.28216442308418477,0.10592312346433676,0.28216442308418477,False,DILI_binary
event_2_late_post_mean_median,-0.2529886540489433,0.14885376666443084,0.2529886540489433,False,DILI_binary
event_3_suppression_median,-0.24612961179598952,0.17448837586354865,0.24612961179598952,False,DILI_binary
event_2_late_post_min_median,-0.22812433963004736,0.1944191937117744,0.22812433963004736,False,DILI_binary
event_2_late_post_min_std,0.21566327124148377,0.22058914263241064,0.21566327124148377,False,DILI_binary
event_1_late_post_min_mean,-0.21201589662512088,0.2286836918222261,0.21201589662512088,False,DILI_binary
event_2_late_post_mean_std,0.2051699362178443,0.2444149697739061,0.2051699362178443,False,DILI_binary
event_2_suppression_std,0.17838095427477313,0.328672180543626,0.17838095427477313,False,DILI_binary
event_1_late_post_min_std,0.1587208146773633,0.3699440130965356,0.1587208146773633,False,DILI_binary
event_1_suppression_median,-0.14119801348574412,0.4331667994843443,0.14119801348574412,False,DILI_binary
event_3_late_post_std_mean,0.12344067750713125,0.48672878049942914,0.12344067750713125,False,DILI_binary
baseline_oxygen_std,0.12058887809035922,0.49692703424596285,0.12058887809035922,False,DILI_binary
event_2_late_post_mean_mean,-0.11816601424874405,0.5056757661077437,0.11816601424874405,False,DILI_binary
event_1_late_post_mean_std,0.11551047600333797,0.5153525452681977,0.11551047600333797,False,DILI_binary
event_2_late_post_std_std,0.11213353636781273,0.5277889067317284,0.11213353636781273,False,DILI_binary
event_3_suppression_std,0.11085835059532682,0.5458264000830905,0.11085835059532682,False,DILI_binary
event_2_late_post_min_mean,-0.10467804637048415,0.5557509484021143,0.10467804637048415,False,DILI_binary
event_1_suppression_mean,-0.10244804122234495,0.5704947218486482,0.10244804122234495,False,DILI_binary
event_2_late_post_std_mean,-0.10085068980891262,0.5703678231457336,0.10085068980891262,False,DILI_binary
event_2_suppression_mean,0.09904127299709269,0.5896795372723047,0.09904127299709269,False,DILI_binary
suppression_consistency_std,-0.09607474510903917,0.7233794801581563,0.09607474510903917,False,DILI_binary
event_1_suppression_std,0.0932887719162697,0.6115691112117909,0.0932887719162697,False,DILI_binary
event_3_late_post_std_median,-0.07898219108478452,0.6570354226134177,0.07898219108478452,False,DILI_binary
event_3_late_post_mean_median,-0.07510125076523402,0.6729308327856582,0.07510125076523402,False,DILI_binary
event_3_suppression_mean,0.07241232309280254,0.6936944811040858,0.07241232309280254,False,DILI_binary
event_3_late_post_min_median,-0.07202647863691955,0.6856243450599497,0.07202647863691955,False,DILI_binary
event_3_late_post_mean_mean,0.060159210309977625,0.7353851110964476,0.060159210309977625,False,DILI_binary
event_3_late_post_min_mean,0.05493442985089268,0.7576473098285124,0.05493442985089268,False,DILI_binary
event_2_suppression_median,0.030058790483757286,0.8702745643926887,0.030058790483757286,False,DILI_binary
n_events_mean,-0.017606026301112312,0.9212752515574127,0.017606026301112312,False,DILI_binary
n_events_std,0.002905308293223677,0.9869894225703149,0.002905308293223677,False,DILI_binary
n_events_median,,,,False,DILI_binary
