feature,r,p,abs_r,significant,endpoint
event_1_late_post_std_median,-0.47970395978382435,0.004094071385985368,0.47970395978382435,True,DILI_likelihood_numeric
event_1_late_post_std_mean,-0.47753942991647735,0.0042898029469478705,0.47753942991647735,True,DILI_likelihood_numeric
event_1_late_post_mean_median,-0.3481370959805632,0.043627449057021976,0.3481370959805632,True,DILI_likelihood_numeric
event_2_suppression_median,0.31145142131434944,0.0827065685665973,0.31145142131434944,False,DILI_likelihood_numeric
baseline_oxygen_median,-0.3045122732266201,0.0799395811215575,0.3045122732266201,False,DILI_likelihood_numeric
event_2_late_post_min_std,0.28403435479624484,0.10353123940298777,0.28403435479624484,False,DILI_likelihood_numeric
event_2_late_post_mean_std,0.2821820719603709,0.10590035493401997,0.2821820719603709,False,DILI_likelihood_numeric
event_1_late_post_min_std,0.28114011645033055,0.10725090785400732,0.28114011645033055,False,DILI_likelihood_numeric
event_3_late_post_mean_std,0.2809763241373795,0.10746438680712209,0.2809763241373795,False,DILI_likelihood_numeric
event_3_late_post_min_std,0.27886299751779187,0.11024760904009356,0.27886299751779187,False,DILI_likelihood_numeric
event_1_late_post_std_std,-0.2659872514904819,0.1283887653191076,0.2659872514904819,False,DILI_likelihood_numeric
event_2_late_post_std_std,0.2515978587114891,0.15117622006274112,0.2515978587114891,False,DILI_likelihood_numeric
event_1_late_post_mean_std,0.25077353260651436,0.15256508693071175,0.25077353260651436,False,DILI_likelihood_numeric
event_2_suppression_mean,0.2505380328094622,0.1666513155557801,0.2505380328094622,False,DILI_likelihood_numeric
event_1_late_post_min_median,-0.23006144834672185,0.19055481921822925,0.23006144834672185,False,DILI_likelihood_numeric
baseline_oxygen_mean,-0.22919475832358732,0.19227708387778983,0.22919475832358732,False,DILI_likelihood_numeric
event_2_late_post_min_median,-0.22568179294936316,0.19936948053760523,0.22568179294936316,False,DILI_likelihood_numeric
event_3_late_post_std_std,0.20222668690102874,0.25139536620640035,0.20222668690102874,False,DILI_likelihood_numeric
event_3_late_post_std_mean,0.19778332802572435,0.26218212164815674,0.19778332802572435,False,DILI_likelihood_numeric
event_2_late_post_mean_median,-0.18085773282546141,0.30602454464227,0.18085773282546141,False,DILI_likelihood_numeric
suppression_consistency_median,-0.15670288616253847,0.4861661936816454,0.15670288616253847,False,DILI_likelihood_numeric
baseline_oxygen_std,0.13770806824222634,0.4373678857901586,0.13770806824222634,False,DILI_likelihood_numeric
suppression_consistency_mean,-0.1312554075866579,0.560408770443456,0.1312554075866579,False,DILI_likelihood_numeric
event_1_suppression_median,0.12920880116305117,0.4735957617432577,0.12920880116305117,False,DILI_likelihood_numeric
event_3_late_post_min_median,-0.12705598411375063,0.4739567137870663,0.12705598411375063,False,DILI_likelihood_numeric
event_2_late_post_std_median,-0.12583319034227267,0.47825682629140803,0.12583319034227267,False,DILI_likelihood_numeric
event_2_suppression_std,0.1214990269609103,0.5077032529621373,0.1214990269609103,False,DILI_likelihood_numeric
event_1_late_post_mean_mean,-0.10596793001617086,0.5508643707837262,0.10596793001617086,False,DILI_likelihood_numeric
event_3_late_post_mean_median,-0.09896292302389734,0.5776409325784442,0.09896292302389734,False,DILI_likelihood_numeric
event_3_suppression_mean,0.09880195562272491,0.5905833250711209,0.09880195562272491,False,DILI_likelihood_numeric
n_events_std,-0.0964818123155399,0.5872627459793246,0.0964818123155399,False,DILI_likelihood_numeric
n_events_mean,0.08411224670825768,0.6362495701238478,0.08411224670825768,False,DILI_likelihood_numeric
event_2_late_post_std_mean,0.08223272564292539,0.6438344234512273,0.08223272564292539,False,DILI_likelihood_numeric
event_3_late_post_mean_mean,0.08144782570453403,0.6470124495353297,0.08144782570453403,False,DILI_likelihood_numeric
event_3_suppression_median,0.07792050187574215,0.6716435442043744,0.07792050187574215,False,DILI_likelihood_numeric
event_3_suppression_std,0.07004242941896441,0.7032594504033123,0.07004242941896441,False,DILI_likelihood_numeric
event_3_late_post_min_mean,0.06554126637672594,0.7126721916778647,0.06554126637672594,False,DILI_likelihood_numeric
event_1_suppression_mean,-0.06295596400891873,0.7277987002764605,0.06295596400891873,False,DILI_likelihood_numeric
event_2_late_post_mean_mean,0.06133986058475896,0.7303829543099485,0.06133986058475896,False,DILI_likelihood_numeric
event_1_suppression_std,0.06115157338501562,0.7395314164440006,0.06115157338501562,False,DILI_likelihood_numeric
event_2_late_post_min_mean,0.04264730614868453,0.8107320713475755,0.04264730614868453,False,DILI_likelihood_numeric
event_3_late_post_std_median,0.02531214265138688,0.8870043229116227,0.02531214265138688,False,DILI_likelihood_numeric
event_1_late_post_min_mean,0.009595496040254822,0.9570473262513375,0.009595496040254822,False,DILI_likelihood_numeric
suppression_consistency_std,-0.0025096286250335387,0.9926403126663694,0.0025096286250335387,False,DILI_likelihood_numeric
n_events_median,,,,False,DILI_likelihood_numeric
