feature,r,p,abs_r,significant,endpoint
event_1_late_post_std_mean,-0.4770693295764277,0.004333363869321755,0.4770693295764277,True,DILI_severity
event_1_late_post_std_median,-0.4664831357581514,0.005420558055208658,0.4664831357581514,True,DILI_severity
event_1_late_post_mean_median,-0.3376942751408637,0.05079170990449443,0.3376942751408637,False,DILI_severity
event_2_suppression_median,0.31155132905902627,0.08260284272022803,0.31155132905902627,False,DILI_severity
baseline_oxygen_median,-0.28728996301342685,0.09946472879765966,0.28728996301342685,False,DILI_severity
event_1_late_post_std_std,-0.2748227832040454,0.1157189229133561,0.2748227832040454,False,DILI_severity
event_2_suppression_mean,0.27109934285612186,0.13340145849322468,0.27109934285612186,False,DILI_severity
event_2_late_post_std_std,0.2693762296498047,0.12341310515023302,0.2693762296498047,False,DILI_severity
event_2_late_post_mean_std,0.2378970742623064,0.17547333395693518,0.2378970742623064,False,DILI_severity
baseline_oxygen_mean,-0.23273703127301676,0.185306275088005,0.23273703127301676,False,DILI_severity
event_2_late_post_min_std,0.23204555219168108,0.1866528471366513,0.23204555219168108,False,DILI_severity
event_3_late_post_mean_std,0.2187703002048894,0.21384989120742703,0.2187703002048894,False,DILI_severity
event_2_late_post_min_median,-0.21806706772040232,0.21536269463187513,0.21806706772040232,False,DILI_severity
event_3_late_post_min_std,0.21512607843319598,0.22176886994612882,0.21512607843319598,False,DILI_severity
event_1_late_post_min_std,0.2132173783223049,0.22599533785548984,0.2132173783223049,False,DILI_severity
event_2_late_post_std_median,-0.20905789316685155,0.235394438914592,0.20905789316685155,False,DILI_severity
event_1_late_post_min_median,-0.20858964154026355,0.23646878782008768,0.20858964154026355,False,DILI_severity
suppression_consistency_median,-0.20852072427538504,0.35172336046580926,0.20852072427538504,False,DILI_severity
event_2_late_post_mean_median,-0.19779242605585096,0.26215972891750583,0.19779242605585096,False,DILI_severity
event_1_late_post_mean_std,0.19777654496513944,0.26219881742674744,0.19777654496513944,False,DILI_severity
suppression_consistency_mean,-0.17968783160606921,0.42361885211734973,0.17968783160606921,False,DILI_severity
event_3_late_post_std_std,0.15818709490805777,0.3715762598767981,0.15818709490805777,False,DILI_severity
event_2_suppression_std,0.14016179212692267,0.44420116465125475,0.14016179212692267,False,DILI_severity
event_1_suppression_median,0.13993256290322773,0.4373421508587125,0.13993256290322773,False,DILI_severity
event_1_late_post_mean_mean,-0.12997891903769238,0.46376038250544893,0.12997891903769238,False,DILI_severity
event_3_suppression_mean,0.12916357661361735,0.48109067408395,0.12916357661361735,False,DILI_severity
event_3_late_post_min_median,-0.12720353916831675,0.4734391894106065,0.12720353916831675,False,DILI_severity
event_3_late_post_mean_median,-0.11537183923260079,0.5158602392360278,0.11537183923260079,False,DILI_severity
event_3_suppression_median,0.11355137503654691,0.536052097817129,0.11355137503654691,False,DILI_severity
event_3_late_post_std_mean,0.09953026355592899,0.5754507415977598,0.09953026355592899,False,DILI_severity
event_3_suppression_std,0.07901433934454018,0.667295613104684,0.07901433934454018,False,DILI_severity
event_1_suppression_mean,-0.07605796059256693,0.6739864988150458,0.07605796059256693,False,DILI_severity
event_1_suppression_std,0.0735839909304224,0.6889825365159497,0.0735839909304224,False,DILI_severity
event_3_late_post_std_median,-0.06406941393462609,0.7188604650306524,0.06406941393462609,False,DILI_severity
n_events_std,-0.06367754589142566,0.7205110216542449,0.06367754589142566,False,DILI_severity
baseline_oxygen_std,0.059100040312124055,0.7398817007376807,0.059100040312124055,False,DILI_severity
n_events_mean,0.05397147782677605,0.761771912455956,0.05397147782677605,False,DILI_severity
event_2_late_post_std_mean,0.038731179681250394,0.8278392003939377,0.038731179681250394,False,DILI_severity
event_3_late_post_mean_mean,0.03256089327193415,0.8549489371838962,0.03256089327193415,False,DILI_severity
event_3_late_post_min_mean,0.02934193182014934,0.8691587787543352,0.02934193182014934,False,DILI_severity
event_2_late_post_mean_mean,0.02274142457386981,0.8984176385146608,0.02274142457386981,False,DILI_severity
event_2_late_post_min_mean,0.018273314233011345,0.9183012662152861,0.018273314233011345,False,DILI_severity
event_1_late_post_min_mean,-0.013385958334699341,0.9401060202895335,0.013385958334699341,False,DILI_severity
suppression_consistency_std,0.002228778679900678,0.9934639102718062,0.002228778679900678,False,DILI_severity
n_events_median,,,,False,DILI_severity
