dimension,spearman_r,spearman_p,pearson_r,pearson_p,n_drugs,abs_spearman
9,-0.2603957693542015,0.0009520439394958536,-0.22499480116967194,0.004480056312217538,158,0.2603957693542015
13,-0.2542108319584471,0.001267999582195516,-0.22566283995107878,0.0043597991217194185,158,0.2542108319584471
17,-0.25361815615129296,0.001302832187812348,-0.21358886688244375,0.007046883767673605,158,0.25361815615129296
4,-0.21356463797301156,0.007053503749787695,-0.21090529125131235,0.007814598466446424,158,0.21356463797301156
5,-0.19114038346123208,0.016139577997633665,-0.17302363916455935,0.029703004936901874,158,0.19114038346123208
16,-0.19028140948319214,0.016632602052475947,-0.20246645815653033,0.010734184364446953,158,0.19028140948319214
8,-0.18179559094021172,0.02224990767241255,-0.18975147720605312,0.01694325555597057,158,0.18179559094021172
12,-0.1715090122050833,0.03118463041854253,-0.15986773028957424,0.04480569977034434,158,0.1715090122050833
7,-0.15946876258851234,0.0453491441057112,-0.1495822840204671,0.060674714165348656,158,0.15946876258851234
19,-0.15733512968275717,0.04834963318376758,-0.1593669881817964,0.045488651103205935,158,0.15733512968275717
18,-0.1457154363238655,0.06772470375447656,-0.14076902352729947,0.07770089149221843,158,0.1457154363238655
14,-0.13403891103826038,0.0931422405268499,-0.11298969412129516,0.15750527949534138,158,0.13403891103826038
10,-0.12794490472524747,0.10914146121278256,-0.11657328142786458,0.14466247585031722,158,0.12794490472524747
11,-0.12767860655436175,0.10988684854197,-0.09705305074859909,0.22508498870251037,158,0.12767860655436175
6,-0.12760066562629763,0.11010576268750298,-0.10211830902092367,0.20168860245815387,158,0.12760066562629763
1,0.1233626276628114,0.12253114117221936,0.11915792722432658,0.13590449708083474,158,0.1233626276628114
3,-0.122614069999529,0.12483439071384753,-0.09174137462241623,0.25161559383008514,158,0.122614069999529
0,0.12085065650207842,0.13039233055310778,0.13841671306161688,0.08284451961472665,158,0.12085065650207842
15,-0.10556936329350801,0.18678769009246418,-0.10145071521033514,0.20466755795064343,158,0.10556936329350801
2,0.06059582403117945,0.449454309773456,0.03195325266865198,0.6902183570294416,158,0.06059582403117945
