drug,cluster
A-1087,0
ARRY-380,1
Abemaciclib,1
Abiraterone,4
Acalabrutinib,3
Afatinib,1
Alectinib,4
Allopurinol,4
Alpelisib,5
Altretamine,5
Altretamine.1,8
Ambrisentan,8
Amifostine,2
Aminolevulinic acid hydrochloride,7
Amiodarone,5
Anastrozole,7
Apalutamide,0
Arsenic trioxide,2
Asciminib,3
Auranofin,0
Avapritinib,0
Axitinib,4
Azacitidine,2
BLU-667,6
Belinostat,1
Belzutifan,2
Bendamustine hydrochloride,4
Binimetinib,2
Bleomycin sulfate,2
Bortezomib,6
Bosutinib,0
Brigatinib,0
Buspirone,8
Busulfan,5
Busulfan.1,8
Cabazitaxel,1
Cabozantinib,5
Capecitabine,1
Capmatinib,1
Carboplatin,5
Carboplatin.1,8
Carfilzomib,5
Carmustine,4
Celecoxib,2
Ceritinib,4
Chlorambucil,6
Chlorambucil.1,8
Cisplatin,2
Cladribine,6
Clofarabine,6
Clozapine,8
Cobimetinib,4
Copanlisib tris-HCl,6
Crizotinib,5
Cyclophosphamide,5
Cyclophosphamide.1,0
Cytarabine hydrochloride,2
Dabrafenib mesylate,2
Dacarbazine,2
Dacomitinib,4
Dactinomycin,6
Darolutamide,0
Dasatinib,0
Daunorubicin hydrochloride,5
Daunorubicin.1,0
Decitabine,7
Dexrazoxane,1
Docetaxel,5
Doxorubicin hydrochloride,5
Doxorubicin.1,8
Duvelisib,0
E.,8
Enasidenib,0
Encorafenib,0
Entacapone,8
Entrectinib,5
Enzalutamide,2
Epirubicin hydrochloride,6
Erdafitinib,4
Erismodegib,2
Erlotinib hydrochloride,3
Estramustine phosphate sodium,2
Etoposide,2
Everolimus,5
Evobrutinib,5
Evobrutinib.1,6
Evobrutinib.2,5
Evobrutinib.3,5
Exemestane,5
Exemestane.1,0
Exportin (mg/ml),5
Exportin (mg/ml).1,5
Extatecan Mesylate,6
Extatecan Mesylate.1,6
F.,8
Fedratinib,4
Fenebrutinib,5
Floxuridine,2
Fludarabine phosphate,2
Fluorouracil,4
Flupirtine,5
Fruquintinib,3
Fulvestrant,8
G,8
G.1,4
Gefitinib,5
Gefitinib.1,8
Gemcitabine hydrochloride,5
Gemcitabine.1,8
Gilteritinib,0
Glasdegib,2
Grazoprevir,5
Hydroxyurea,4
Ibrutinib,0
Idarubicin hydrochloride,4
Idelalisib,0
Ifosfamide,4
Imatinib,0
Imiquimod,7
Infigratinib,4
Irinotecan hydrochloride,2
Ivosidenib,3
Ixabepilone,5
Ixazomib citrate,6
Lapatinib,1
Larotrectinib,1
Lenalidomide,1
Lenvatinib,4
Letrozole,4
Levofloxacin,8
Lomustine,2
Lorlatinib,4
Mechlorethamine hydrochloride,5
Megestrol acetate,7
Melphalan hydrochloride,5
Melphalan.1,5
Mercaptopurine,7
Methotrexate,5
Methotrexate.1,6
Methoxsalen,2
Mitomycin,5
Mitomycin.1,6
Mitotane,4
Mitoxantrone,5
Mitoxantrone.1,6
Nefazodone,8
Nelarabine,1
Neratinib,3
Nilotinib,4
Niraparib hydrochloride,5
Olanzapine,8
Olaparib,1
Omacetaxine mepesuccinate,6
Orelabrutinib,5
Osimertinib,5
Oxaliplatin,0
Paclitaxel,4
Pacritinib,4
Palbociclib,5
Panobinostat,6
Pazopanib hydrochloride,2
"Pemetrexed, Disodium salt, Heptahydrate",2
Pemigatinib,3
Pentostatin,5
Pentostatin.1,8
Pexidartinib,3
Pipobroman,6
Pipobroman.1,8
Plerixafor,0
Plicamycin,6
Pomalidomide,4
Ponatinib,4
Pralatrexate,6
Procarbazine hydrochloride,2
Proglitazone,8
Raloxifene,2
Regorafenib,0
Ribociclib,0
Romidepsin,6
Rucaparib phosphate,6
Ruxolitinib,4
Sanofi-1,8
Sanofi-2,8
Sanofi-3,8
Sanofi-4,8
Sanofi-5,0
Sanofi-6,0
Sanofi-7,0
Sanofi-8,0
Selinexor,6
Selpercatinib,3
Selumetinib,4
Sirolimus,2
Sitaxentan,5
Sorafenib,4
Sotorasib,3
Streptozocin,2
Sunitinib,4
Talazoparib,2
Tamoxifen citrate,5
Tamoxifen.1,0
Tazemetostat,4
Temozolomide,5
Temozolomide.1,8
Temsirolimus,7
Teniposide,5
Teniposide.1,6
Teriflunomide,5
Thalidomide,2
Thioguanine,2
Thiotepa,5
Thiotepa.1,0
Tiranibulin,0
Tivozanib,1
Tolcapone,8
Tolebrutinib,5
Topotecan hydrochloride,5
Topotecan.1,6
Trametinib,0
Tretinoin,1
Triethylenemelamine,2
Trifluridine,4
Trilaciclib dihydrochloride,3
Troglitazone,8
Trovafoxacin,8
Umbralisib,2
Uracil mustard,7
Uridine triacetate,0
Valrubicin,7
Vandetanib,1
Vemurafenib,4
Venetoclax,4
Vinblastine sulfate,5
Vinblastine.1,0
Vincristine sulfate,5
Vinorelbine tartrate,0
Vismodegib,1
Vorinostat,4
Zanubrutinib,2
Zoledronic acid,1
