struct_type,struct_feature_idx,correlation,oxygen_type,oxygen_feature_idx,feature_name,feature_type,description
combined,208,0.9334603008689484,sax,173,morgan Feature 208,Combined (morgan),Combined embedding feature from morgan
morgan,864,0.7048072408490458,sax,76,Morgan Bit 864,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 864)"
maccs,28,0.5735889896121861,sax,76,MACCS Key 28,Structural Key,"Functional group pattern (carbonyls, aromatics, heteroatoms)"
morgan,1212,0.5735889896121857,sax,143,Morgan Bit 1212,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 1212)"
combined,208,0.544040528692201,sax,61,morgan Feature 208,Combined (morgan),Combined embedding feature from morgan
combined,899,0.5315681542314163,sax,173,morgan Feature 899,Combined (morgan),Combined embedding feature from morgan
morgan,2014,0.5244261459856696,sax,22,Morgan Bit 2014,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 2014)"
morgan,246,0.5088182131537318,sax,95,Morgan Bit 246,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 246)"
morgan,2014,0.5088145891613858,sax,68,Morgan Bit 2014,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 2014)"
combined,438,0.5055685073390724,sax,88,morgan Feature 438,Combined (morgan),Combined embedding feature from morgan
morgan,781,0.4951059180921495,sax,76,Morgan Bit 781,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 781)"
morgan,1212,0.4951059180921495,sax,160,Morgan Bit 1212,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 1212)"
combined,438,0.4735424810323103,sax,87,morgan Feature 438,Combined (morgan),Combined embedding feature from morgan
combined,1123,0.4654883661221236,sax,101,morgan Feature 1123,Combined (morgan),Combined embedding feature from morgan
morgan,334,0.4531435914542671,sax,184,Morgan Bit 334,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 334)"
morgan,83,0.4531435914542664,sax,184,Morgan Bit 83,Circular Fingerprint,"Circular substructure pattern (radius 2, bit 83)"
combined,405,0.4512355168341098,sax,71,morgan Feature 405,Combined (morgan),Combined embedding feature from morgan
combined,257,0.4479054406724465,sax,183,morgan Feature 257,Combined (morgan),Combined embedding feature from morgan
combined,417,0.4425566211889625,sax,181,morgan Feature 417,Combined (morgan),Combined embedding feature from morgan
combined,71,0.4425566211889625,sax,181,morgan Feature 71,Combined (morgan),Combined embedding feature from morgan
